,Text,Language,lang_abbr,text_pp
0," Nature, in the broadest sense, is the natural, physical, material world or universe.",English,Eng,Nature in the broadest sense is the natural physical material world or universe
1,"""Nature"" can refer to the phenomena of the physical world, and also to life in general.",English,Eng,Nature can refer to the phenomena of the physical world and also to life in general
2,"The study of nature is a large, if not the only, part of science.",English,Eng,The study of nature is a large if not the only part of science
3,"Although humans are part of nature, human activity is often understood as a separate category from other natural phenomena.",English,Eng,Although humans are part of nature human activity is often understood as a separate category from other natural phenomena
4,"[1] The word nature is borrowed from the Old French nature and is derived from the Latin word natura, or ""essential qualities, innate disposition"", and in ancient times, literally meant ""birth"".",English,Eng, The word nature is borrowed from the Old French nature and is derived from the Latin word natura or essential qualities innate disposition and in ancient times literally meant birth
5,"[2] In ancient philosophy, natura is mostly used as the Latin translation of the Greek word physis (φύσις), which originally related to the intrinsic characteristics that plants, animals, and other features of the world develop of their own accord.",English,Eng, In ancient philosophy natura is mostly used as the Latin translation of the Greek word physis  which originally related to the intrinsic characteristics that plants animals and other features of the world develop of their own accord
6,"[3][4] 
The concept of nature as a whole, the physical universe, is one of several expansions of the original notion;[1] it began with certain core applications of the word φύσις by pre-Socratic philosophers (though this word had a dynamic dimension then, especially for Heraclitus), and has steadily gained currency ever since.",English,Eng, The concept of nature as a whole the physical universe is one of several expansions of the original notion it began with certain core applications of the word by preSocratic philosophers though this word had a dynamic dimension then especially for Heraclitus and has steadily gained currency ever since
7,"During the advent of modern scientific method in the last several centuries, nature became the passive reality, organized and moved by divine laws.",English,Eng,During the advent of modern scientific method in the last several centuries nature became the passive reality organized and moved by divine laws
8,"[5][6] With the Industrial revolution, nature increasingly became seen as the part of reality deprived from intentional intervention : it was hence considered as sacred by some traditions (Rousseau, American transcendentalism) or a mere decorum for divine providence or human history (Hegel, Marx).",English,Eng, With the Industrial revolution nature increasingly became seen as the part of reality deprived from intentional intervention it was hence considered as sacred by some traditions Rousseau American transcendentalism or a mere decorum for divine providence or human history Hegel Marx
9,"However, a vitalist vision of nature, closer to the presocratic one, got reborn at the same time, especially after Charles Darwin.",English,Eng,However a vitalist vision of nature closer to the presocratic one got reborn at the same time especially after Charles Darwin
10,"[1] Within the various uses of the word today, ""nature"" often refers to geology and wildlife.",English,Eng, Within the various uses of the word today nature often refers to geology and wildlife
11,"Nature can refer to the general realm of living plants and animals, and in some cases to the processes associated with inanimate objects—the way that particular types of things exist and change of their own accord, such as the weather and geology of the Earth.",English,Eng,Nature can refer to the general realm of living plants and animals and in some cases to the processes associated with inanimate objects way that particular types of things exist and change of their own accord such as the weather and geology of the Earth
12,"It is often taken to mean the ""natural environment"" or wilderness—wild animals, rocks, forest, and in general those things that have not been substantially altered by human intervention, or which persist despite human intervention.",English,Eng,It is often taken to mean the natural environment or wilderness animals rocks forest and in general those things that have not been substantially altered by human intervention or which persist despite human intervention
13,"For example, manufactured objects and human interaction generally are not considered part of nature, unless qualified as, for example, ""human nature"" or ""the whole of nature"".",English,Eng,For example manufactured objects and human interaction generally are not considered part of nature unless qualified as for example human nature or the whole of nature
14,"This more traditional concept of natural things that can still be found today implies a distinction between the natural and the artificial, with the artificial being understood as that which has been brought into being by a human consciousness or a human mind.",English,Eng,This more traditional concept of natural things that can still be found today implies a distinction between the natural and the artificial with the artificial being understood as that which has been brought into being by a human consciousness or a human mind
15,"Depending on the particular context, the term ""natural"" might also be distinguished from the unnatural or the supernatural.",English,Eng,Depending on the particular context the term natural might also be distinguished from the unnatural or the supernatural
16,"[1] Earth is the only planet known to support life, and its natural features are the subject of many fields of scientific research.",English,Eng, Earth is the only planet known to support life and its natural features are the subject of many fields of scientific research
17,"Within the solar system, it is third closest to the sun; it is the largest terrestrial planet and the fifth largest overall.",English,Eng,Within the solar system it is third closest to the sun it is the largest terrestrial planet and the fifth largest overall
18,"Its most prominent climatic features are its two large polar regions, two relatively narrow temperate zones, and a wide equatorial tropical to subtropical region.",English,Eng,Its most prominent climatic features are its two large polar regions two relatively narrow temperate zones and a wide equatorial tropical to subtropical region
19,"[7] Precipitation varies widely with location, from several metres of water per year to less than a millimetre.",English,Eng, Precipitation varies widely with location from several metres of water per year to less than a millimetre
20,71 percent of the Earth's surface is covered by salt-water oceans.,English,Eng,percent of the Earth surface is covered by saltwater oceans
21,"The remainder consists of continents and islands, with most of the inhabited land in the Northern Hemisphere.",English,Eng,The remainder consists of continents and islands with most of the inhabited land in the Northern Hemisphere
22,Earth has evolved through geological and biological processes that have left traces of the original conditions.,English,Eng,Earth has evolved through geological and biological processes that have left traces of the original conditions
23,The outer surface is divided into several gradually migrating tectonic plates.,English,Eng,The outer surface is divided into several gradually migrating tectonic plates
24,"The interior remains active, with a thick layer of plastic mantle and an iron-filled core that generates a magnetic field.",English,Eng,The interior remains active with a thick layer of plastic mantle and an ironfilled core that generates a magnetic field
25,"This iron core is composed of a solid inner phase, and a fluid outer phase.",English,Eng,This iron core is composed of a solid inner phase and a fluid outer phase
26,"Convective motion in the core generates electric currents through dynamo action, and these, in turn, generate the geomagnetic field.",English,Eng,Convective motion in the core generates electric currents through dynamo action and these in turn generate the geomagnetic field
27,"The atmospheric conditions have been significantly altered from the original conditions by the presence of life-forms,[8] which create an ecological balance that stabilizes the surface conditions.",English,Eng,The atmospheric conditions have been significantly altered from the original conditions by the presence of lifeforms which create an ecological balance that stabilizes the surface conditions
28,"Despite the wide regional variations in climate by latitude and other geographic factors, the long-term average global climate is quite stable during interglacial periods,[9] and variations of a degree or two of average global temperature have historically had major effects on the ecological balance, and on the actual geography of the Earth.",English,Eng,Despite the wide regional variations in climate by latitude and other geographic factors the longterm average global climate is quite stable during interglacial periods and variations of a degree or two of average global temperature have historically had major effects on the ecological balance and on the actual geography of the Earth
29,[10][11] Geology is the science and study of the solid and liquid matter that constitutes the earth.,English,Eng, Geology is the science and study of the solid and liquid matter that constitutes the earth
30,"The field of geology encompasses the study of the composition, structure, physical properties, dynamics, and history of Earth materials, and the processes by which they are formed, moved, and changed.",English,Eng,The field of geology encompasses the study of the composition structure physical properties dynamics and history of Earth materials and the processes by which they are formed moved and changed
