,Text,Language,lang_abbr,text_pp
7196,Wikipedia ha ricevuto anche del materiale a condizione che non si possano produrre lavori derivati o che possa essere usato solo all'interno di Wikipedia.,Italian,Ita,Wikipedia ha ricevuto anche del materiale a condizione che non si possano produrre lavori derivati o che possa essere usato solo all di Wikipedia
7165,"I testi delle voci e i contenuti multimediali tuttavia sono spesso condivisi tra le varie edizioni: i primi grazie alle traduzioni, i secondi attraverso il progetto condiviso chiamato Wikimedia Commons.",Italian,Ita,I testi delle voci e i contenuti multimediali tuttavia sono spesso condivisi tra le varie edizioni i primi grazie alle traduzioni i secondi attraverso il progetto condiviso chiamato Wikimedia Commons
7334,"Nel suo pamphlet sulla specializzazione, frammentazione e disgregazione del sapere,[51] Lucio Russo conclude: «Non è facile prevedere l'esito dell'esperimento sociologico-culturale di massa di Wikipedia, ma credo che in ogni caso questo tentativo di ricostruire dal basso uno strumento condivisibile di conoscenza, al quale stanno partecipando milioni di volontari di tutto il mondo, costituisca un'esperienza da cui non si potrà prescindere in futuro e autorizza qualche timida speranza.» Wikipedia ha vinto due premi importanti nel maggio 2004: il primo è stato un Golden Nica per le Comunità Digitali all'interno del Prix Ars Electronica di Linz in Austria[52], in cui annualmente sono consegnati premi nel campo dell'arte elettronica ed interattiva, dell'animazione al computer, della cultura digitale e della musica.",Italian,Ita,Nel suo pamphlet sulla specializzazione frammentazione e disgregazione del sapere Lucio Russo conclude bNon facile prevedere l dell sociologicoculturale di massa di Wikipedia ma credo che in ogni caso questo tentativo di ricostruire dal basso uno strumento condivisibile di conoscenza al quale stanno partecipando milioni di volontari di tutto il mondo costituisca un da cui non si potr prescindere in futuro e autorizza qualche timida speranzaxbb Wikipedia ha vinto due premi importanti nel maggio  il primo stato un Golden Nica per le Comunit Digitali all del Prix Ars Electronica di Linz in Austria in cui annualmente sono consegnati premi nel campo dell elettronica ed interattiva dell al computer della cultura digitale e della musica
7673,Cosa ne pensi di questo?,Italian,Ita,Cosa ne pensi di questo
7658,sapresti dov'è la biblioteca?,Italian,Ita,sapresti dov la biblioteca
7416,Gli alberi di decisione possono essere rappresentati da un insieme di regole if-else per migliorare la leggibilità umana.,Italian,Ita,Gli alberi di decisione possono essere rappresentati da un insieme di regole ifelse per migliorare la leggibilit umana
7666,ti dispiacerebbe ripeterlo?,Italian,Ita,ti dispiacerebbe ripeterlo
7329,"[49][50] Tra il 28 dicembre 2005 e il 10 gennaio 2006 l'edizione in lingua italiana di Wikipedia è stata sottoposta a un esperimento da parte del settimanale L'espresso, che ha inserito volutamente quattro errori in altrettante voci dell'enciclopedia (Álvaro Recoba, Ugo Foscolo, Giovanni Spadolini, Georg Hegel) e una voce del tutto inventata su un inesistente poeta di nome Carlo Zamolli.",Italian,Ita, Tra il dicembre e il gennaio l in lingua italiana di Wikipedia stata sottoposta a un esperimento da parte del settimanale L che ha inserito volutamente quattro errori in altrettante voci dell xclvaro Recoba Ugo Foscolo Giovanni Spadolini Georg Hegel e una voce del tutto inventata su un inesistente poeta di nome Carlo Zamolli
7349,"La seconda procedura, che necessita di supervisione e richiede la riprogrammazione per ogni nuova applicazione, è molto più efficiente dal punto di vista computazionale.",Italian,Ita,La seconda procedura che necessita di supervisione e richiede la riprogrammazione per ogni nuova applicazione molto pixf efficiente dal punto di vista computazionale
7132,"[9] Per il concetto di wiki, Wales e Sanger dichiararono di essersi ispirati ai siti WikiWikiWeb o Portland Pattern Repository di Ward Cunningham.",Italian,Ita, Per il concetto di wiki Wales e Sanger dichiararono di essersi ispirati ai siti WikiWikiWeb o Portland Pattern Repository di Ward Cunningham
7364,"Lo studio dell'apprendimento simbolico e knowledge-based continuò nell'ambito dell'IA, portando a sviluppare la programmazione logica induttiva, ma ora la ricerca più prettamente statistica si svolgeva al di fuori del campo vero e proprio dell'intelligenza artificiale, nel riconoscimento di pattern e nell'information retrieval[10].",Italian,Ita,Lo studio dell simbolico e knowledgebased continuxf nell dell portando a sviluppare la programmazione logica induttiva ma ora la ricerca pixf prettamente statistica si svolgeva al di fuori del campo vero e proprio dell artificiale nel riconoscimento di pattern e nell retrieval
7374,"Questa definizione di Mitchell è rilevante poiché fornisce una definizione operativa dell'apprendimento automatico, invece che in termini cognitivi.",Italian,Ita,Questa definizione di Mitchell rilevante poich fornisce una definizione operativa dell automatico invece che in termini cognitivi
7544,chiedo e poi dico alla fine.,Italian,Ita,chiedo e poi dico alla fine
7378,"In questo contesto, per generalizzazione si intende l'abilità di una macchina di portare a termine in maniera accurata esempi o compiti nuovi, che non ha mai affrontato, dopo aver fatto esperienza su un insieme di dati di apprendimento.",Italian,Ita,In questo contesto per generalizzazione si intende l di una macchina di portare a termine in maniera accurata esempi o compiti nuovi che non ha mai affrontato dopo aver fatto esperienza su un insieme di dati di apprendimento
7175,"In questo caso la neutralità e le reciproche obiezioni spingono verso il minimo comun denominatore, e bisogna accontentarsi.",Italian,Ita,In questo caso la neutralit e le reciproche obiezioni spingono verso il minimo comun denominatore e bisogna accontentarsi
7327,"[46][47][48] La ricerca di Nature fece notevole scalpore nei media, dai quali è stata spesso citata come dimostrazione dell'efficacia dei progetti basati sul crowdsourcing.",Italian,Ita, La ricerca di Nature fece notevole scalpore nei media dai quali stata spesso citata come dimostrazione dell dei progetti basati sul crowdsourcing
7491,"così tanto che dimenticano cosa fare ora confuso tende ad essere una parola abusata quindi invece di quello perché non usi flummox, ad esempio il ragazzo sembrava completamente sconcertato quando l'insegnante gli faceva una domanda in classe o il cane era sconcertato guardando al proprio riflesso nello specchio o il turista era sconcertato dalle diverse usanze che.",Italian,Ita,cosc tanto che dimenticano cosa fare ora confuso tende ad essere una parola abusata quindi invece di quello perch non usi flummox ad esempio il ragazzo sembrava completamente sconcertato quando l gli faceva una domanda in classe o il cane era sconcertato guardando al proprio riflesso nello specchio o il turista era sconcertato dalle diverse usanze che
7143,"A partire dal 2004 è iniziata a costituirsi una rete di associazioni nazionali collegate alla Wikimedia Foundation (chiamati ""capitoli ufficiali""), tra le quali Wikimedia Italia, fondata nel 2005.",Italian,Ita,A partire dal iniziata a costituirsi una rete di associazioni nazionali collegate alla Wikimedia Foundation chiamati capitoli ufficiali tra le quali Wikimedia Italia fondata nel 
7296,"Nel discutere su Wikipedia come fonte accademica Danah Boyd, ricercatrice presso la School of Information Management and Systems (SIMS) dell'Università della California a Berkeley, scrisse nel 2005 che «[Wikipedia] non sarà mai un'enciclopedia, ma conterrà una vasta conoscenza piuttosto valida per diversi scopi».",Italian,Ita,Nel discutere su Wikipedia come fonte accademica Danah Boyd ricercatrice presso la School of Information Management and Systems SIMS dell della California a Berkeley scrisse nel che bWikipedia non sar mai un ma conterr una vasta conoscenza piuttosto valida per diversi scopixbb
7420,Gli approcci dell'apprendimento basato su regole di associazione includono il sistema immunitario artificiale.,Italian,Ita,Gli approcci dell basato su regole di associazione includono il sistema immunitario artificiale
7502,"dì loro che forse sono ottuso ma non so perché sei così arrabbiato, la parola intelligente numero 10 è pigro pigro significa pigro per muoversi in modo lento per essere un po 'più lento.",Italian,Ita,dc loro che forse sono ottuso ma non so perch sei cosc arrabbiato la parola intelligente numero pigro significa pigro per muoversi in modo lento per essere un po xf lento
7443,"Ad esempio, il SPHINXsystem[32] impara le strategie di altoparlanti specifici per riconoscere i suoni primitivi (fonemi) e le parole del segnale vocale osservato.",Italian,Ita,Ad esempio il SPHINXsystem impara le strategie di altoparlanti specifici per riconoscere i suoni primitivi fonemi e le parole del segnale vocale osservato
7551,"non preoccuparti, immagina di essere tornato a casa e ci sono tutti i tuoi amici seduti sul tuo divano.",Italian,Ita,non preoccuparti immagina di essere tornato a casa e ci sono tutti i tuoi amici seduti sul tuo divano
7410,"Le tecniche di soft computing d'altro canto antepongono il guadagno nella comprensione del comportamento di un sistema a scapito della precisione, spesso non necessaria.",Italian,Ita,Le tecniche di soft computing d canto antepongono il guadagno nella comprensione del comportamento di un sistema a scapito della precisione spesso non necessaria
7697,resisti per un momento.,Italian,Ita,resisti per un momento
7456,Di conseguenza la raccolta responsabile dei dati può diventare un aspetto critico dell'apprendimento automatico.,Italian,Ita,Di conseguenza la raccolta responsabile dei dati puxf diventare un aspetto critico dell automatico
7550,va bene.,Italian,Ita,va bene
7692,posso fermarti lì per un momento?,Italian,Ita,posso fermarti lc per un momento
7440,"La cluster analisi, o clustering, è in grado di rilevare similarità strutturali tra le osservazioni di un dataset attraverso l'assegnazione di un insieme di osservazioni in sottogruppi (cluster) di elementi tra loro omogenei[1].",Italian,Ita,La cluster analisi o clustering in grado di rilevare similarit strutturali tra le osservazioni di un dataset attraverso l di un insieme di osservazioni in sottogruppi cluster di elementi tra loro omogenei
7476,è così equilibrato e soave soprattutto di fronte alle signore o Barack Obama è così gentile e raffinato ora ricorda quando sei a una festa la prossima volta e vedi questa persona che è così.,Italian,Ita,cosc equilibrato e soave soprattutto di fronte alle signore o Barack Obama cosc gentile e raffinato ora ricorda quando sei a una festa la prossima volta e vedi questa persona che cosc
7730,"scusa, adesso non posso.",Italian,Ita,scusa adesso non posso
7691,scusa se ti interrompo.,Italian,Ita,scusa se ti interrompo
7345,"Nell'ambito dell'informatica, l'apprendimento automatico è una variante alla programmazione tradizionale nella quale in una macchina si predispone l'abilità di apprendere qualcosa dai dati in maniera autonoma, senza istruzioni esplicite[1][2].",Italian,Ita,Nell dell l automatico una variante alla programmazione tradizionale nella quale in una macchina si predispone l di apprendere qualcosa dai dati in maniera autonoma senza istruzioni esplicite
7450,"Questo sistema è oggi utilizzato per classificare automaticamente tutti gli oggetti nel Sky Survey, che si compone di tre terabyte di dati immagine.",Italian,Ita,Questo sistema oggi utilizzato per classificare automaticamente tutti gli oggetti nel Sky Survey che si compone di tre terabyte di dati immagine
7768,visto che la sua bellezza era conosciuta in lungo e in largo ma li respingeva tutti molto sgarbatamente perché ieri hai mandato via quegli uomini mi sembravano simpatici non puoi essere seria mamma una di loro.,Italian,Ita,visto che la sua bellezza era conosciuta in lungo e in largo ma li respingeva tutti molto sgarbatamente perch ieri hai mandato via quegli uomini mi sembravano simpatici non puoi essere seria mamma una di loro
7277,"Per contro altri ritengono Wikipedia di qualità sufficiente in almeno alcune aree, in questo sostenuti dal fatto che essa ha vinto un test comparativo proposto da c't, rivista tedesca di informatica.",Italian,Ita,Per contro altri ritengono Wikipedia di qualit sufficiente in almeno alcune aree in questo sostenuti dal fatto che essa ha vinto un test comparativo proposto da c rivista tedesca di informatica
7400,"Invece, l'apprendimento automatico può essere anche supervisionato[27].",Italian,Ita,Invece l automatico puxf essere anche supervisionato
7725,ti dispiacerebbe prestarmi dei soldi?,Italian,Ita,ti dispiacerebbe prestarmi dei soldi
7631,"posso dire prenditi cura di te, il che significa prenditi cura di te stesso.",Italian,Ita,posso dire prenditi cura di te il che significa prenditi cura di te stesso
7578,le cose succedono non essere turbato se non hai il nome di una persona con cui vuoi parlare.,Italian,Ita,le cose succedono non essere turbato se non hai il nome di una persona con cui vuoi parlare
7391,"Queste categorie, anche dette paradigmi, sono:[10] A metà strada tra l'apprendimento supervisionato e quello non supervisionato c'è l'apprendimento semi-supervisionato, nel quale l'insegnante fornisce un dataset incompleto per l'allenamento, cioè un insieme di dati per l'allenamento tra i quali ci sono dati senza il rispettivo output desiderato.",Italian,Ita,Queste categorie anche dette paradigmi sono A met strada tra l supervisionato e quello non supervisionato c l semisupervisionato nel quale l fornisce un dataset incompleto per l cio un insieme di dati per l tra i quali ci sono dati senza il rispettivo output desiderato
7522,frasi se stai imparando l'inglese da un po 'e vuoi riprendere l'apprendimento.,Italian,Ita,frasi se stai imparando l da un po vuoi riprendere l
7218,Questo tipo di modifiche è in gergo chiamato vandalismo.,Italian,Ita,Questo tipo di modifiche in gergo chiamato vandalismo
7228,"molto più semplice dell'HTML) il software MediaWiki mette a disposizione anche un editor visuale, chiamato VisualEditor.",Italian,Ita,molto pixf semplice dell il software MediaWiki mette a disposizione anche un editor visuale chiamato VisualEditor
7740,ringraziare le persone.,Italian,Ita,ringraziare le persone
7659,esitante.,Italian,Ita,esitante
7581,mi dispiace disturbarti.,Italian,Ita,mi dispiace disturbarti
7206,"[20] Il nome Wikipedia è composto dal prefisso wiki- (dall'hawaiano wiki, veloce), e dal suffisso -pedia (dal greco antico paideia, formazione).",Italian,Ita, Il nome Wikipedia composto dal prefisso wiki dall wiki veloce e dal suffisso pedia dal greco antico paideia formazione
7121,"Questo perché le grandi riviste scientifiche tendono a «curare in modo aggressivo i loro brand mettendo al primo posto la vendita di abbonamenti, più che la pubblicazione di tutte le ricerche più significative [...] mentre pubblicano molte ricerche rilevanti, tendono tuttavia a non pubblicare tutte le ricerche rilevanti, né sono gli unici a pubblicarle».",Italian,Ita,Questo perch le grandi riviste scientifiche tendono a bcurare in modo aggressivo i loro brand mettendo al primo posto la vendita di abbonamenti pixf che la pubblicazione di tutte le ricerche pixf significative  mentre pubblicano molte ricerche rilevanti tendono tuttavia a non pubblicare tutte le ricerche rilevanti n sono gli unici a pubblicarlexbb
7203,"Nel 2006 sono nate poi le edizioni in ligure, piemontese, francoprovenzale e tarantino.",Italian,Ita,Nel sono nate poi le edizioni in ligure piemontese francoprovenzale e tarantino
7642,va bene iniziamo.,Italian,Ita,va bene iniziamo
7494,"è un modo molto francese di dire appuntamento o appuntamento, ad esempio ho un appuntamento con i miei amici a pranzo di sabato o ho intenzione di incontrarmi con i miei amici al centro commerciale per i film rendezvous può essere usato sia come sostantivo che come verbo per esempio.",Italian,Ita,un modo molto francese di dire appuntamento o appuntamento ad esempio ho un appuntamento con i miei amici a pranzo di sabato o ho intenzione di incontrarmi con i miei amici al centro commerciale per i film rendezvous puxf essere usato sia come sostantivo che come verbo per esempio
7635,si può dire grazie al cielo è venerdì o pensare che il cielo ha detto sabato weekend discovery.,Italian,Ita,si puxf dire grazie al cielo venerdc o pensare che il cielo ha detto sabato weekend discovery
7653,devo andare.,Italian,Ita,devo andare
7477,"educato, colto e sofisticato.",Italian,Ita,educato colto e sofisticato
7751,aspetta un secondo.,Italian,Ita,aspetta un secondo
7254,"Al contrario di altri progetti basati su wiki, come il Portland Pattern Repository di Ward Cunningham (considerato l'inventore del wiki), i wikipediani usano le cosiddette pagine di discussione[39] per discutere le modifiche alle voci, piuttosto che farlo all'interno delle voci stesse.",Italian,Ita,Al contrario di altri progetti basati su wiki come il Portland Pattern Repository di Ward Cunningham considerato l del wiki i wikipediani usano le cosiddette pagine di discussione per discutere le modifiche alle voci piuttosto che farlo all delle voci stesse
7142,"Wikipedia ha raggiunto la sua milionesima voce, tra le 105 edizioni in lingua all'epoca presenti, il 20 settembre 2004.",Italian,Ita,Wikipedia ha raggiunto la sua milionesima voce tra le edizioni in lingua all presenti il settembre 
7157,"In generale dispongono di una linea editoriale stabilita e fanno uso delle tradizionali politiche sulla proprietà intellettuale dei contenuti, come per esempio l'Enciclopedia Stanford di Filosofia, compilata da esperti.",Italian,Ita,In generale dispongono di una linea editoriale stabilita e fanno uso delle tradizionali politiche sulla propriet intellettuale dei contenuti come per esempio l Stanford di Filosofia compilata da esperti
7156,Su Internet esistono o sono esistiti molti altri progetti enciclopedici.,Italian,Ita,Su Internet esistono o sono esistiti molti altri progetti enciclopedici
7187,"Uno dei principi alla base di Wikipedia è il ""punto di vista neutrale"",[17] secondo il quale ad esempio le opinioni presentate da personaggi importanti o da opere letterarie vengono riassunte senza tentare di determinarne una verità oggettiva.",Italian,Ita,Uno dei principi alla base di Wikipedia il punto di vista neutrale secondo il quale ad esempio le opinioni presentate da personaggi importanti o da opere letterarie vengono riassunte senza tentare di determinarne una verit oggettiva
7281,"[44] Di fatto Wikipedia funziona molto efficacemente come un aggregatore di informazioni e notizie provenienti da numerose fonti primarie (cartacee e web) di fronte all'enorme numero di informazioni disperse nel web, cresciute con il web stesso, stimolando allo stesso tempo la condivisione del sapere in rete e il senso di responsabilità.",Italian,Ita, Di fatto Wikipedia funziona molto efficacemente come un aggregatore di informazioni e notizie provenienti da numerose fonti primarie cartacee e web di fronte all numero di informazioni disperse nel web cresciute con il web stesso stimolando allo stesso tempo la condivisione del sapere in rete e il senso di responsabilit
7324,Alla fine del 2005 è sorta una controversia dopo che il giornalista John Seigenthaler Sr. aveva notato come la sua biografia fosse stata vandalizzata inserendo informazioni false.,Italian,Ita,Alla fine del sorta una controversia dopo che il giornalista John Seigenthaler Sr aveva notato come la sua biografia fosse stata vandalizzata inserendo informazioni false
7723,facendo richieste.,Italian,Ita,facendo richieste
7180,"A causa della sua natura aperta, vandalismi e imprecisioni sono problemi riscontrabili in Wikipedia.",Italian,Ita,A causa della sua natura aperta vandalismi e imprecisioni sono problemi riscontrabili in Wikipedia
7125,"Lanciata da Jimmy Wales e Larry Sanger il 15 gennaio 2001, inizialmente nell'edizione in lingua inglese, nei mesi successivi ha aggiunto edizioni in numerose altre lingue.",Italian,Ita,Lanciata da Jimmy Wales e Larry Sanger il gennaio  inizialmente nell in lingua inglese nei mesi successivi ha aggiunto edizioni in numerose altre lingue
7772,oh cara una notte mentre dormiva sua madre sedeva al suo fianco a guardarla.,Italian,Ita,oh cara una notte mentre dormiva sua madre sedeva al suo fianco a guardarla
7681,non sono libero di dirlo.,Italian,Ita,non sono libero di dirlo
7292,"Per le pubblicazioni stampate, gli editori devono garantire che i loro dati siano attendibili in quanto il loro sostentamento dipende da ciò.",Italian,Ita,Per le pubblicazioni stampate gli editori devono garantire che i loro dati siano attendibili in quanto il loro sostentamento dipende da cixf
7647,è molto tempo che non ci si vede.,Italian,Ita,molto tempo che non ci si vede
7471,"soldi ma non otterresti quel prestito bancario a meno che non provi alla banca che hai abbastanza soldi, quindi la prossima volta che sei bloccato in una situazione difficile ricorda.",Italian,Ita,soldi ma non otterresti quel prestito bancario a meno che non provi alla banca che hai abbastanza soldi quindi la prossima volta che sei bloccato in una situazione difficile ricorda
7761,felice apprendimento e ci vediamo presto in un'altra lezione.,Italian,Ita,felice apprendimento e ci vediamo presto in un lezione
7405,La funzione di costo (o funzione di perdita) rappresenta la discrepanza tra le previsioni del modello che si sta addestrando e le istanze del problema reale.,Italian,Ita,La funzione di costo o funzione di perdita rappresenta la discrepanza tra le previsioni del modello che si sta addestrando e le istanze del problema reale
7534,"Non puoi lamentarti della prossima frase che qualcuno ti dice qualcosa e tu non l'hai davvero menzionato nella conversazione come se in qualche modo immaginassero che hai un nuovo lavoro, e glielo chiedi.",Italian,Ita,Non puoi lamentarti della prossima frase che qualcuno ti dice qualcosa e tu non l davvero menzionato nella conversazione come se in qualche modo immaginassero che hai un nuovo lavoro e glielo chiedi
7291,Il problema principale è la mancanza di autorevolezza.,Italian,Ita,Il problema principale la mancanza di autorevolezza
7570,Starò bene.,Italian,Ita,Starxf bene
7558,Mi dispiace.,Italian,Ita,Mi dispiace
7197,Alcune edizioni comunque accettano solo contenuti multimediali liberi da copyright.,Italian,Ita,Alcune edizioni comunque accettano solo contenuti multimediali liberi da copyright
7567,Non stavo ascoltando un'altra frase che uso sempre.,Italian,Ita,Non stavo ascoltando un frase che uso sempre
7468,"ti ho confuso, quindi lascia che ti faccia alcuni esempi una situazione di cattura è quando non ottieni un lavoro senza avere esperienza lavorativa.",Italian,Ita,ti ho confuso quindi lascia che ti faccia alcuni esempi una situazione di cattura quando non ottieni un lavoro senza avere esperienza lavorativa
7609,tu sei forte?,Italian,Ita,tu sei forte
7688,temo di non essere d'accordo.,Italian,Ita,temo di non essere d
7193,"Il materiale di Wikipedia può quindi essere distribuito a, o incorporato da, fonti che a loro volta usino questa licenza.",Italian,Ita,Il materiale di Wikipedia puxf quindi essere distribuito a o incorporato da fonti che a loro volta usino questa licenza
7137,"Nupedia e Wikipedia coesistettero finché i server della prima furono chiusi definitivamente nel 2003 e i suoi testi incorporati in Wikipedia (Nupedia aveva sofferto un tasso di crescita estremamente lento, a causa dei complicati processi di revisione, riuscendo a pubblicare solo 24 voci); Sanger uscì di scena e un gruppo di utenti attuò una biforcazione della Wikipedia in spagnolo per costituire l'Enciclopedia Libre.",Italian,Ita,Nupedia e Wikipedia coesistettero finch i server della prima furono chiusi definitivamente nel e i suoi testi incorporati in Wikipedia Nupedia aveva sofferto un tasso di crescita estremamente lento a causa dei complicati processi di revisione riuscendo a pubblicare solo voci Sanger uscc di scena e un gruppo di utenti attuxf una biforcazione della Wikipedia in spagnolo per costituire l Libre
